,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chato,TZ,2021-08-04 00:08:48,-2.6378,31.7669,70.99,60,66,1.7
1,Bonavista,CA,2021-08-04 00:08:49,48.6499,-53.1147,65.12,76,72,12.33
2,Alofi,NU,2021-08-04 00:08:49,-19.0595,-169.9187,74.05,60,61,12.41
3,Castro,BR,2021-08-04 00:08:49,-24.7911,-50.0119,45.64,88,42,4.29
4,Tabuk,PH,2021-08-04 00:08:50,17.4189,121.4443,80.58,78,100,1.32
5,Dali,CN,2021-08-04 00:08:50,25.7,100.1833,65.35,80,1,2.13
6,Uarini,BR,2021-08-04 00:08:50,-2.99,-65.1083,75.24,79,67,2.46
7,Zhangjiakou,CN,2021-08-04 00:08:51,40.81,114.8794,69.53,86,35,2.17
8,Chokurdakh,RU,2021-08-04 00:08:51,70.6333,147.9167,52.79,38,25,9.73
9,Asosa,ET,2021-08-04 00:08:51,10.0667,34.5333,60.94,87,100,3.6
10,Narsaq,GL,2021-08-04 00:08:52,60.9167,-46.05,46.62,94,100,1.63
11,Sokoto,NG,2021-08-04 00:08:52,13.0609,5.239,79.39,74,18,10.38
12,Padang,ID,2021-08-04 00:08:52,-0.9492,100.3543,76.89,87,73,3.4
13,Hobart,AU,2021-08-04 00:07:56,-42.8794,147.3294,53.26,78,75,3.0
14,Qaanaaq,GL,2021-08-04 00:08:53,77.484,-69.3632,41.65,98,100,4.29
15,Ancud,CL,2021-08-04 00:08:53,-41.8697,-73.8203,43.43,77,65,5.61
16,Januaria,BR,2021-08-04 00:08:53,-15.4833,-44.3667,70.84,43,56,1.28
17,Vaini,TO,2021-08-04 00:08:54,-21.2,-175.2,72.28,66,76,13.2
18,Brae,GB,2021-08-04 00:08:54,60.3964,-1.353,55.31,88,100,8.03
19,Butaritari,KI,2021-08-04 00:08:55,3.0707,172.7902,83.37,70,93,13.42
20,Tiznit,MA,2021-08-04 00:08:55,29.5833,-9.5,63.61,85,40,3.53
