,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
327,Gornyak,RU,60.53,broken clouds,50.9942,81.4661,Komfort
328,Perm,RU,74.66,clear sky,58.0174,56.2855,Otel' Tsvety
329,Shelburne,CA,81.75,clear sky,44.0787,-80.2041,The Retreat at the Farm
330,Dauphin,CA,77.14,haze,51.1494,-100.0502,Canway Inn & Suites
331,Inyonga,TZ,74.05,broken clouds,-6.7167,32.0667,Eden Rock Lodge
332,Olafsvik,IS,54.52,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
333,Honningsvag,NO,49.75,broken clouds,70.9821,25.9704,Nordkapp Vandrerhjem
334,Sheregesh,RU,56.61,broken clouds,52.9209,87.9869,Akvilon Hotel
335,Gravdal,NO,53.49,broken clouds,68.1214,13.5031,Skreda Rorbusuiter
337,Sistranda,NO,57.9,overcast clouds,63.7256,8.834,Hotell Frøya
338,Zlobin,HR,70.9,scattered clouds,45.2924,14.6541,Hotel Bitoraj Fuzine
339,Bafoulabe,ML,81.7,overcast clouds,13.8065,-10.8321,
340,Arkhangelsk,RU,51.91,broken clouds,64.5401,40.5433,DVINA HOTEL
341,Zapresic,HR,79.93,overcast clouds,45.8564,15.8078,Country House Kamenitih Svatova
342,Umm Lajj,SA,92.66,broken clouds,25.0213,37.2685,Moon light Furnished Units
343,Los Llanos De Aridane,ES,73.15,few clouds,28.6585,-17.9182,Valle Aridane
344,San Juan Nepomuceno,CO,88.93,overcast clouds,9.9516,-75.082,HOTEL ALCAZAR DE LUCAS
345,Elizabeth City,US,73.02,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
346,Carlyle,US,82.44,clear sky,38.6103,-89.3726,Mariner's Village at Carlyle Lake
347,Horsham,GB,71.82,few clouds,51.064,-0.3272,Springfields Hotel
348,Likasi,CD,64.9,clear sky,-10.9814,26.7333,TABERNACLE DE LIKASI
349,Quatre Cocos,MU,69.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
350,Wabash,US,81.48,scattered clouds,40.7978,-85.8205,"Holiday Inn Express & Suites Wabash, an IHG Hotel"
351,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
352,Key West,US,90.0,thunderstorm,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
353,Hluti,SZ,61.0,clear sky,-27.2167,31.6167,
355,Teya,RU,62.96,overcast clouds,60.3778,92.6267,
356,Montepuez,MZ,68.25,clear sky,-13.1256,38.9997,PembaAparthotel
357,Plainview,US,76.73,few clouds,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
358,Necochea,AR,69.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
359,Lasa,IT,58.62,light rain,46.6166,10.7002,Pension Feldgärtenhof
360,Gat,IL,90.39,clear sky,31.61,34.7642,OlusHome
361,Sao Felix Do Xingu,BR,98.58,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
362,Edd,ER,90.79,scattered clouds,13.9297,41.6925,
363,Hasaki,JP,73.8,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
364,College,US,67.95,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
365,Xining,CN,57.61,overcast clouds,36.6167,101.7667,Super Leisure Hotel
366,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
367,Kismayo,SO,75.94,light rain,-0.3582,42.5454,Agan-Hotel
368,Grindavik,IS,60.57,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
369,Aksha,RU,56.93,overcast clouds,50.2814,113.2867,Vizit
370,Valence,ES,88.5,clear sky,39.4697,-0.3774,Only YOU Hotel Valencia
371,Saldanha,ZA,57.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
372,Kibala,TD,87.75,few clouds,9.1104,18.3463,hotel safari
373,Chara,RU,57.85,broken clouds,56.9064,118.2631,
374,Sibolga,ID,75.81,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
375,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Hotel Central
376,Athabasca,CA,73.22,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
377,Deputatskiy,RU,38.23,few clouds,69.3,139.9,Baza Otdykha
378,Chapais,CA,67.78,clear sky,49.7834,-74.8492,Hôtel Opémiska
379,San Miguel,SV,89.2,clear sky,13.4833,-88.1833,Hotel Tropico Inn San Miguel
380,Teknaf,BD,78.76,broken clouds,20.8624,92.3058,Forestry Guesthouse
381,Huilong,CN,83.03,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
382,Kiyasovo,RU,69.82,light rain,56.3491,53.1244,Гостиница Центральная
383,Traralgon,AU,50.41,overcast clouds,-38.1833,146.5333,Comfort Inn Traralgon
384,Russell,US,84.9,broken clouds,32.3502,-85.1999,Macs
385,Palmer,US,77.11,overcast clouds,42.1584,-72.3287,Wedgewood Motel
386,Arcachon,FR,69.42,broken clouds,44.5875,-1.0519,Hôtel All Suites Le Teich
387,Kungalv,SE,66.29,few clouds,57.871,11.9805,Hotell Fars Hatt
388,Haines Junction,CA,57.15,broken clouds,60.7522,-137.5108,Parkside Inn
389,Basco,PH,83.71,moderate rain,20.4487,121.9702,Nathaniel's Lodge
390,Namibe,AO,70.12,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
391,At-Bashi,KG,58.35,overcast clouds,41.1702,75.8106,Hostel At-Bashy
392,Dingle,PH,78.19,light rain,10.9995,122.6711,SEGAYA PROPERTY
393,Dhar,IN,73.83,overcast clouds,22.6,75.3,SPOT ON 49205 Hotel Shrinath Residency
394,Norman Wells,CA,51.84,smoke,65.282,-126.8329,Heritage Hotel
395,Carrollton,US,90.25,broken clouds,32.9537,-96.8903,Days Inn by Wyndham North Dallas/Farmers Branch
396,Concarneau,FR,68.05,overcast clouds,47.875,-3.9225,Brit Hotel de L' Océan
397,Paita,PE,75.76,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
398,Acopiara,BR,93.4,broken clouds,-6.0953,-39.4525,Cantinho do Ceu Hotel
399,Vestmannaeyjar,IS,56.39,mist,63.4427,-20.2734,Glamping & Camping
400,Nyurba,RU,59.02,overcast clouds,63.2842,118.3319,Gostinitsa Alrosa
401,Trincomalee,LK,81.55,overcast clouds,8.5711,81.2335,Welcombe Hotel
402,Bolobo,CD,82.87,scattered clouds,-2.1667,16.2333,Hotel de Stephen
404,Leticia,CO,87.85,clear sky,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
405,Ust-Maya,RU,54.41,broken clouds,60.4167,134.5333,
406,Kharp,RU,64.63,overcast clouds,66.8014,65.8081,"Hotel ""Sob"""
407,Marsa Matruh,EG,84.4,clear sky,31.3525,27.2453,Beau Site
408,Presidente Epitacio,BR,78.03,overcast clouds,-21.7633,-52.1156,Hotel Itaverá
409,Mulanje,MW,62.71,scattered clouds,-16.0316,35.5,Mulanje Motel
410,Tromso,NO,52.45,light intensity drizzle,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
411,Pacific Grove,US,74.16,haze,36.6177,-121.9166,Lovers Point Inn
412,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
413,Roald,NO,64.17,scattered clouds,62.5833,6.1333,Flem Cabins
414,Kushima,JP,77.72,scattered clouds,31.4583,131.2333,Hanaoka
415,Pedra Branca,BR,90.7,broken clouds,-5.4542,-39.7172,Chácara Verçoza
416,Smirnykh,RU,53.33,overcast clouds,49.75,142.8333,Tsentral'naya
417,Tilichiki,RU,40.12,overcast clouds,60.4667,166.1,
418,Naze,JP,78.12,overcast clouds,28.3667,129.4833,Amami Port Tower Hotel
419,Esperance,AU,46.24,clear sky,-33.8667,121.9,Hospitality Esperance
420,Kashi,CN,78.31,broken clouds,39.4547,75.9797,帕米尔青年旅舍
421,Sao Gabriel,BR,65.16,overcast clouds,-30.3364,-54.32,Hotel Obino
422,Alyangula,AU,66.07,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
423,Shu,KZ,77.23,clear sky,43.5983,73.7614,Shyngyzkhan
424,Christchurch,NZ,48.0,overcast clouds,-43.5333,172.6333,The George
425,Bilibino,RU,42.98,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
426,Lagoa,PT,73.18,clear sky,39.05,-27.9833,Casa Das Faias
427,Wharton,US,91.62,scattered clouds,29.3116,-96.1027,"Countryside Inn Wharton, TX"
428,Ostersund,SE,63.61,broken clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
429,Dana Point,US,96.98,clear sky,33.467,-117.6981,Laguna Cliffs Marriott Resort & Spa
430,Mayumba,GA,74.59,scattered clouds,-3.432,10.6554,LIKWALE LODGE
431,Shiroishi,JP,77.27,overcast clouds,38.0033,140.6183,Yunushi Ichijō
432,Senneterre,CA,73.62,clear sky,48.3835,-77.2328,Motel Senabi
433,Puerto Madryn,AR,67.08,clear sky,-42.7692,-65.0385,Hotel Tolosa
434,Monrovia,LR,80.37,light rain,6.3005,-10.7969,Sunset Inn
435,Sainte-Maxime,FR,75.22,overcast clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
436,Farafangana,MG,67.39,overcast clouds,-22.8167,47.8333,Miarina
437,Lyantonde,UG,70.0,broken clouds,-0.4031,31.1572,Pals Panache Splendors
438,Khoy,IR,80.73,clear sky,38.5504,44.9535,ترک سل
439,Hambantota,LK,79.77,overcast clouds,6.1241,81.1185,Bungalow 63
440,Sola,VU,77.45,scattered clouds,-13.8833,167.55,Leumerus Bungalows
441,Thinadhoo,MV,82.2,overcast clouds,0.5333,72.9333,
442,Coffeyville,US,81.86,clear sky,37.0373,-95.6164,Regal Inn
443,Bozeman,US,81.21,haze,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
444,Bambanglipuro,ID,75.18,light rain,-7.95,110.2833,Puri Brata
445,San Vicente,AR,74.03,few clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
446,Burnie,AU,48.92,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
447,Tahe,CN,59.43,moderate rain,52.3333,124.7333,塔河宾馆
448,Nishihara,JP,80.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
449,Simao,CN,64.74,broken clouds,22.7886,100.9748,Changyu Hotel
450,Kindu,CD,81.1,scattered clouds,-2.95,25.95,Résidence Okanda
451,Maniitsoq,GL,44.65,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
452,Imbituba,BR,67.89,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
453,Paramonga,PE,69.19,broken clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
454,Alamosa,US,76.66,clear sky,37.4695,-105.87,Best Western Alamosa Inn
455,Salta,AR,72.19,clear sky,-24.7859,-65.4117,Hotel Alejandro I
456,Yumen,CN,74.86,clear sky,40.2833,97.2,
457,Bad Ems,DE,71.02,broken clouds,50.3333,7.7167,Häcker´s Grand Hotel
458,Posadas,AR,73.38,clear sky,-27.3671,-55.8961,Hotel Posadas
459,Narsaq,GL,50.22,light rain,60.9167,-46.05,Narsaq Kayak Hostel
460,Mamallapuram,IN,89.65,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
461,Wewak,PG,77.85,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
462,Abu Samrah,SY,91.47,few clouds,35.3029,37.1841,
463,Nizwa,OM,99.39,broken clouds,22.9333,57.5333,Orient Apartments
465,Tonj,SS,75.07,light rain,7.2737,28.6822,
466,Farmington,US,87.78,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
467,Algiers,DZ,80.42,clear sky,36.7525,3.042,Sofitel Algiers Hamma Garden
468,Nakatsu,JP,82.29,few clouds,33.5981,131.1883,Toyoko Inn Oita Nakatsu Ekimae
469,Aitape,PG,76.24,broken clouds,-3.1374,142.3475,
470,Sabha,LY,96.82,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
471,General Roca,AR,59.4,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
472,Cidreira,BR,61.32,overcast clouds,-30.1811,-50.2056,Hotel Castelo
474,Hamina,FI,63.68,overcast clouds,60.5697,27.1979,SpaHotel Hamina
475,Tura,IN,74.86,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
476,Balkanabat,TM,94.66,broken clouds,39.5108,54.3671,Nebitchi Hotel
477,Nemuro,JP,66.96,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
478,Bonavista,CA,75.2,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
479,Caravelas,BR,71.11,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
480,Galveston,US,91.18,thunderstorm with rain,29.3669,-94.9669,Comfort Inn & Suites Texas City
481,Kandhla,IN,80.83,few clouds,29.3167,77.2667,श्री निराकार मंदिर सैनी निवास
482,Sorland,NO,53.67,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
483,Raga,SS,72.07,scattered clouds,8.4596,25.678,
484,Dawson Creek,CA,71.24,clear sky,55.7666,-120.2362,Peace Villa Motel
485,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
486,Zhigansk,RU,58.37,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
487,Durban,ZA,67.01,clear sky,-29.8579,31.0292,Hilton Durban
488,Lavrentiya,RU,55.0,overcast clouds,65.5833,-171.0,
489,Terrak,NO,57.22,overcast clouds,65.087,12.3715,Plahte properties
490,Svetlogorsk,BY,65.21,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
491,Sattahip,TH,86.99,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
492,Karpogory,RU,56.73,scattered clouds,64.0019,44.4451,Hotel Pinezhskaya Sloboda
493,Linhai,CN,79.93,heavy intensity rain,28.85,121.1167,Linhai S&N International Hotel
494,Oksfjord,NO,53.67,light rain,70.2396,22.3479,
495,Araguaina,BR,98.82,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
496,Villamontes,BO,78.24,scattered clouds,-21.25,-63.5,Hotel Raldes
497,Kiama,AU,56.37,few clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
498,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
499,Pekan,MY,78.91,broken clouds,3.4836,103.3996,Pekan Budget Hotel
500,Mayma,RU,59.67,scattered clouds,52.0197,85.9114,Usadba Bereg Mechty
501,Marsh Harbour,BS,84.24,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
502,Aykhal,RU,58.33,clear sky,66.0,111.5,
503,Tortoli,IT,90.99,clear sky,39.9256,9.6572,Hotel La Bitta
504,Isiolo,KE,69.4,broken clouds,0.3546,37.5822,Gaddisa Hotel
505,Bilma,NE,98.74,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
506,Mananjary,MG,67.06,broken clouds,-21.2167,48.3333,Vahiny Lodge
507,Tanout,NE,95.38,overcast clouds,14.9709,8.8879,
508,Saint-Augustin,CA,71.15,scattered clouds,51.226,-58.6502,
509,Nezhinka,RU,86.16,clear sky,51.7676,55.3694,"Extreme Park, Holiday Village"
510,Beloha,MG,64.44,clear sky,-25.1667,45.05,
511,Shubarshi,KZ,85.78,overcast clouds,48.5872,57.1869,
512,Aklavik,CA,59.83,haze,68.2191,-135.0107,Aklavik Inn
513,Batagay,RU,46.0,broken clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
514,Porkhov,RU,60.69,overcast clouds,57.765,29.5561,Hotel Parking
515,Suez,EG,90.88,clear sky,29.9737,32.5263,Green House
516,Qiongshan,CN,80.58,clear sky,20.0058,110.3542,Sun City Restaurant
517,Cuamba,MZ,66.99,clear sky,-14.8031,36.5372,Hotel Vision
518,Rocha,UY,63.09,few clouds,-34.4833,-54.3333,Beleza Pura B&B
519,Leningradskiy,RU,38.5,overcast clouds,69.3833,178.4167,Gostinitsa
520,Kalmunai,LK,81.77,overcast clouds,7.4167,81.8167,VS Villa
521,Pangkalanbuun,ID,74.91,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
522,Plouzane,FR,64.58,clear sky,48.3833,-4.6167,Carrefour Voyages Plouzané
523,Manggar,ID,81.77,broken clouds,-2.8833,108.2667,Guest Hotel
524,Maloy,NO,64.87,overcast clouds,61.9353,5.1136,Torget Hotell
525,Tabas,IR,92.82,few clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
526,Elat,IL,98.44,few clouds,29.5581,34.9482,Club Hotel Eilat
527,Camara De Lobos,PT,79.72,scattered clouds,32.6333,-16.9667,Golden Residence Hotel
528,Bay Roberts,CA,75.65,broken clouds,47.5999,-53.2648,Stonewall Inn
529,Fuyu,CN,68.9,broken clouds,45.1833,124.8167,Education Hostel
530,Volchikha,RU,60.94,scattered clouds,52.0333,80.3833,Gostinitsa
531,Mapiripan,CO,82.02,broken clouds,2.8892,-72.1256,Monserrate
532,Sabang,ID,82.94,overcast clouds,5.8933,95.3214,Hotel Citra
533,Mumford,GH,76.96,broken clouds,5.2618,-0.759,Spanish Villa
534,Marmaris,TR,98.55,clear sky,36.855,28.2742,Hawaii Hotel
535,Tucuman,AR,69.8,few clouds,-26.8241,-65.2226,HOTEL MIAMI
537,Ekibastuz,KZ,68.43,overcast clouds,51.6667,75.3667,
538,Flinders,AU,56.17,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
539,Blackwater,AU,48.33,clear sky,-23.5833,148.8833,Blackwater Motor Inn
540,Nelson Bay,AU,53.76,clear sky,-32.7167,152.15,Mantra Nelson Bay
541,Yangcun,CN,79.0,broken clouds,39.3639,117.0603,Hanting Express Tianjin Wuqing Jingjin Road
542,Estevan,CA,79.14,clear sky,49.1334,-102.9842,"Motel 6 Estevan, SK"
543,Mana,GF,84.83,few clouds,5.6592,-53.7767,LE SAMANA
544,Ondjiva,AO,68.13,clear sky,-17.0667,15.7333,SOS Motel
545,Camacha,PT,72.82,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
546,Sheridan,US,84.69,clear sky,44.8333,-106.9173,Comfort Inn & Suites
547,Wanning,CN,80.69,overcast clouds,18.8003,110.3967,Paradise Hotel
548,Yar-Sale,RU,61.52,few clouds,66.8333,70.8333,Yalemd
549,Blagoyevo,RU,55.47,broken clouds,63.3667,47.9167,
550,Sao Jose Da Coroa Grande,BR,75.97,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
551,Domoni,KM,75.78,few clouds,-12.2569,44.5319,Al Djadid
552,Fairbanks,US,68.09,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
553,Evensk,RU,43.54,overcast clouds,61.95,159.2333,
554,Breytovo,RU,59.47,broken clouds,58.2993,37.8617,"The recreation center ""Sitinsky Beach"""
555,Bafq,IR,92.93,broken clouds,31.6128,55.4107,Alamdar Hotel
556,Westerland,DE,67.01,clear sky,54.9079,8.3033,Dorint Strandhotel & Spa Westerland / Sylt
557,Yerbogachen,RU,57.22,broken clouds,61.2767,108.0108,
558,Vallenar,CL,76.1,scattered clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
559,Khandyga,RU,52.59,clear sky,62.6667,135.6,Apel'sin
560,Namatanai,PG,78.42,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
561,Tongchuan,CN,80.38,overcast clouds,35.0806,109.0897,Tongchuan Hotel
562,Shieli,KZ,84.36,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
563,Ha Giang,VN,79.66,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
564,Ulaanbaatar,MN,48.33,scattered clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
565,Miles City,US,86.5,haze,46.4083,-105.8406,FairBridge Inn & Suites Miles City
566,Wuwei,CN,72.32,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
567,Baharampur,IN,80.38,light rain,24.1,88.25,The Sugarr & Spice Roopkatha
568,Nurota,UZ,86.09,broken clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
569,Skelleftea,SE,66.99,scattered clouds,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
570,Coihaique,CL,45.21,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
571,Komsomolskiy,UZ,86.72,broken clouds,40.4272,71.7189,Ikathouse
572,Nuuk,GL,57.81,scattered clouds,64.1835,-51.7216,Vandrehuset
573,Sidney,AU,50.95,clear sky,-33.8679,151.2073,The Grace Sydney
574,Varhaug,NO,62.78,scattered clouds,58.6147,5.6457,Jonas Bue
575,Chicama,PE,64.94,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
576,Yanai,JP,82.62,scattered clouds,33.9667,132.1167,Yanai City Hotel
577,Nashville,US,85.73,clear sky,36.1659,-86.7844,Sheraton Grand Nashville Downtown
578,Jawa,JO,86.31,haze,31.8525,35.9393,دار الحاج عبدالله ابو صعيليك واولاده
579,Thunder Bay,CA,85.28,smoke,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
580,Severo-Yeniseyskiy,RU,58.32,broken clouds,60.3725,93.0408,Aktolik
583,Dabakala,CI,79.65,light rain,8.3667,-4.4333,Hôtel Campement
584,Pouembout,NC,63.14,broken clouds,-21.1333,164.9,Camping de Tipenga
585,Mandla,IN,73.87,overcast clouds,22.6,80.3833,Bison Resort
586,Antalaha,MG,67.21,clear sky,-14.9003,50.2788,Hotel Vitasoa
587,Morondava,MG,73.36,clear sky,-20.2833,44.2833,La Case Bambou
588,Kralendijk,BQ,87.78,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
589,Dodge City,US,86.25,haze,37.7528,-100.0171,Windsor Inn & Suites
590,Port Hawkesbury,CA,78.91,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
591,Juba,SS,77.25,few clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
592,Markova,UA,69.39,broken clouds,48.6758,24.4138,Vas.VOM
593,Eatonton,US,86.77,scattered clouds,33.3268,-83.3885,Western Motel of Eatonton
594,Mosina,PL,70.34,few clouds,52.2454,16.8471,HOT_elarnia HOTEL i SPA
595,Hudson Bay,CA,70.27,overcast clouds,52.85,-102.3842,Norwood Motel LTD
596,Ntcheu,MW,58.35,clear sky,-14.8203,34.6359,Dear Executive Lodge
597,Huangpi,CN,84.31,clear sky,30.8845,114.3779,Xinxing Lidu Hotel
598,Berdigestyakh,RU,58.53,overcast clouds,62.0989,126.6992,
599,Quesnel,CA,68.5,clear sky,52.9999,-122.5029,Ramada by Wyndham Quesnel
600,Gazli,UZ,95.07,few clouds,40.1333,63.45,
601,Mpongwe,ZM,63.32,clear sky,-13.5091,28.155,GCMF Office & Lodge
602,Bull Savanna,JM,85.96,scattered clouds,17.8868,-77.5902,Big Red's
603,Dutlwe,BW,61.52,clear sky,-23.9833,23.9,
604,Taitung,TW,79.57,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
605,Chesma,RU,68.02,broken clouds,53.8111,60.6533,Gostinitsa
606,Sandakan,MY,78.48,few clouds,5.8402,118.1179,Hotel Sandakan
607,Qui Nhon,VN,85.03,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
608,Acari,PE,78.82,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
609,Bontang,ID,76.87,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
610,Phu Ly,VN,81.48,overcast clouds,20.5411,105.9139,5 Star Apartment Central Phu Ly
611,Solnechnyy,RU,53.19,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
612,Raudeberg,NO,64.0,overcast clouds,61.9875,5.1352,Nordre Silda.
613,Novaya Bryan,RU,56.17,few clouds,51.7159,108.2691,
614,Lodja,CD,87.26,broken clouds,-3.4833,23.4333,
615,Borogontsy,RU,58.32,clear sky,62.6683,131.1683,
616,Guerrero Negro,MX,82.0,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
617,Lata,PT,83.05,few clouds,40.1629,-8.3327,Casa Maquia
618,Port Hedland,AU,71.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
619,La Ronge,CA,71.82,smoke,55.1001,-105.2842,Northland Motor Hotel
620,Tongzi,CN,79.52,scattered clouds,28.7829,105.0877,
621,Herat,AF,84.92,clear sky,34.5,62.0,
622,Broken Hill,AU,46.11,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
623,Alta Floresta,BR,96.62,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
624,Weihai,CN,76.73,scattered clouds,37.5017,122.1136,Beihai Travel Resort
625,Berlevag,NO,48.2,broken clouds,70.8578,29.0864,Kvitbrakka
626,Nikolsk,RU,62.04,scattered clouds,53.7189,46.0712,Гостиница Центральная
627,Paamiut,GL,45.72,light rain,61.994,-49.6678,Hotel Ivaana
628,Guilin,CN,80.71,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
629,Hanmer Springs,NZ,39.83,overcast clouds,-42.5167,172.8167,The Chalets Motel
630,Nantucket,US,72.01,moderate rain,41.2835,-70.0995,Jared Coffin House
631,Tambura,SS,69.87,light rain,5.6,27.4667,Rikito Lodge
632,Sosnovo-Ozerskoye,RU,51.55,broken clouds,52.5249,111.5418,
633,Yangambi,CD,75.78,few clouds,0.8102,24.4336,
634,Lerik,AZ,72.32,clear sky,38.7726,48.4128,9 QARDAŞ
635,Great Yarmouth,GB,69.35,clear sky,52.6083,1.7305,Comfort Hotel Great Yarmouth
636,Half Moon Bay,US,76.82,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
637,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
638,Srednekolymsk,RU,37.38,overcast clouds,67.45,153.6833,
639,Tawala,PH,83.75,overcast clouds,9.5542,123.7696,Panglao Regents Park Resort
640,Solano,US,80.71,clear sky,38.2333,-121.9511,Travis AFB FamCamp
641,Prince Rupert,CA,64.49,light rain,54.3161,-130.3201,Crest Hotel
642,Kurilsk,RU,59.16,moderate rain,45.2333,147.8833,City of Kurilsk
643,Senanga,ZM,65.88,clear sky,-16.1167,23.2667,Zango lodge
644,Husavik,IS,57.11,broken clouds,66.0449,-17.3389,Bjarnabúð
645,Lidzbark Warminski,PL,59.0,overcast clouds,54.1259,20.5795,Hotel Krasicki
646,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
647,Antsirabe,MG,50.63,broken clouds,-19.85,47.0333,Antsirabe Hotel
648,Pirapozinho,BR,71.08,clear sky,-22.2753,-51.5,São Paulo
649,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
650,Marfino,RU,62.87,clear sky,55.7028,37.3822,Nemchinovka-Park
651,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
652,Atmakur,IN,80.89,overcast clouds,15.8833,78.5833,Mee seva atk
653,Kieta,PG,77.54,few clouds,-6.2167,155.6333,Uruna Bay Retreat
654,Kaminskiy,RU,61.59,few clouds,57.1516,41.4732,
655,Taltal,CL,64.54,clear sky,-25.4,-70.4833,Residencial Karime
656,Norheimsund,NO,65.16,overcast clouds,60.3709,6.1456,Hardangerfjord Hotel
657,Parana,AR,72.55,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
658,Vilcun,CL,57.94,few clouds,-38.65,-72.2333,"Rayen-Co, Rural Tourism"
659,Shipunovo,RU,59.43,broken clouds,52.1582,82.2173,
660,Saint-Marc,HT,86.22,overcast clouds,19.1082,-72.6938,Maguana Hotel
661,Sonderso,DK,68.58,clear sky,55.4853,10.2554,Plougheld
