,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Serenje,ZM,-13.2325,30.2352,53.1,47,0,5.03,clear sky
80,Sri Aman,MY,1.2376,111.4621,74.91,99,98,0.6,overcast clouds
81,Sur,OM,22.5667,59.5289,92.95,49,100,10.78,overcast clouds
82,Cape Town,ZA,-33.9258,18.4232,59.88,89,19,4.0,few clouds
83,Mount Gambier,AU,-37.8333,140.7667,49.91,100,90,8.05,overcast clouds
84,Hanko,FI,59.8333,22.95,59.85,53,0,5.68,clear sky
85,Chyhyryn,UA,49.0838,32.6555,71.2,51,96,5.82,overcast clouds
86,Berlevag,NO,70.8578,29.0864,48.2,81,75,25.32,broken clouds
87,Gander,CA,48.9682,-54.5906,73.17,38,100,13.0,overcast clouds
88,Airai,TL,-8.9266,125.4092,55.47,76,19,3.78,few clouds
89,Nioki,CD,-2.7167,17.6833,79.66,29,5,1.34,clear sky
90,Batagay-Alyta,RU,67.8006,130.4114,52.61,43,0,13.15,clear sky
91,Grants,US,35.1473,-107.8514,82.63,21,40,12.66,scattered clouds
92,Jamestown,US,42.097,-79.2353,80.19,47,75,5.99,broken clouds
93,Lompoc,US,34.6391,-120.4579,76.32,68,1,13.8,clear sky
94,Lalmohan,BD,22.3384,90.7419,81.72,87,23,7.67,few clouds
95,Sinnamary,GF,5.3833,-52.95,82.15,77,71,9.95,broken clouds
96,Souillac,MU,-20.5167,57.5167,68.36,71,92,19.73,overcast clouds
97,Ponta Do Sol,PT,32.6667,-17.1,75.7,74,36,1.25,scattered clouds
98,Delijan,IR,33.9905,50.6838,80.94,22,66,11.7,broken clouds
99,Farah,AF,32.5,62.5,85.39,13,0,7.25,clear sky
100,Porteirinha,BR,-15.7433,-43.0283,76.41,36,100,9.64,overcast clouds
101,Nikolskoye,RU,59.7035,30.7861,53.49,71,67,2.39,broken clouds
102,Albany,US,42.6001,-73.9662,80.02,55,100,3.51,overcast clouds
103,Tak,TH,16.5833,98.8333,68.99,98,100,4.25,overcast clouds
104,Cukai,MY,4.25,103.4167,76.93,88,58,3.87,broken clouds
105,Lakes Entrance,AU,-37.8811,147.981,51.19,77,59,16.82,broken clouds
106,Bredasdorp,ZA,-34.5322,20.0403,53.28,96,19,1.1,few clouds
107,Novyye Burasy,RU,52.1324,46.0714,71.94,75,0,6.58,clear sky
108,Puerto Escondido,MX,15.85,-97.0667,86.83,66,75,9.22,broken clouds
109,Krapivinskiy,RU,54.9992,86.8133,60.44,97,100,2.17,light rain
110,Tiksi,RU,71.6872,128.8694,41.72,84,0,6.62,clear sky
111,Aklavik,CA,68.2191,-135.0107,65.14,34,2,11.16,clear sky
112,Alofi,NU,-19.0595,-169.9187,71.49,83,75,4.61,light intensity drizzle
113,Zeya,RU,53.75,127.2667,56.93,98,100,3.71,light rain
114,Atuona,PF,-9.8,-139.0333,77.94,67,96,10.98,overcast clouds
115,Praia Da Vitoria,PT,38.7333,-27.0667,76.75,84,0,12.24,clear sky
116,Pisco,PE,-13.7,-76.2167,66.02,82,40,9.22,scattered clouds
117,Christchurch,NZ,-43.5333,172.6333,49.91,87,75,1.99,broken clouds
118,Margate,GB,51.3813,1.3862,64.69,77,17,1.99,few clouds
119,Sitka,US,57.0531,-135.33,62.49,82,90,9.22,light rain
120,Chase,CA,50.8165,-119.6857,96.4,21,18,0.38,few clouds
121,Punta Arenas,CL,-53.15,-70.9167,53.71,58,0,21.85,clear sky
122,Dunedin,NZ,-45.8742,170.5036,45.81,72,100,14.0,overcast clouds
123,Oussouye,SN,12.485,-16.5469,80.15,82,100,7.96,overcast clouds
124,Pemangkat,ID,1.1667,108.9667,80.53,84,100,9.33,overcast clouds
125,Abnub,EG,27.2696,31.1511,95.49,12,0,3.89,clear sky
126,Urengoy,RU,65.9667,78.3667,60.13,84,7,2.93,clear sky
127,Khuzhir,RU,53.1939,107.3397,57.29,79,24,7.7,few clouds
128,Tuatapere,NZ,-46.1333,167.6833,35.82,83,100,4.14,overcast clouds
129,Saskylakh,RU,71.9167,114.0833,49.73,52,99,7.0,overcast clouds
130,Adre,TD,13.4667,22.2,79.59,64,100,7.74,overcast clouds
131,Barhi,IN,23.9,80.8,74.07,93,99,8.43,overcast clouds
132,Butaritari,KI,3.0707,172.7902,82.27,66,96,8.81,overcast clouds
133,Kapaa,US,22.0752,-159.319,84.52,74,40,3.0,light rain
134,Kavaratti,IN,10.5669,72.642,81.95,78,100,17.22,overcast clouds
135,Virginia Beach,US,36.8529,-75.978,73.45,85,90,10.36,mist
136,Pacific Grove,US,36.6177,-121.9166,88.61,85,75,4.0,broken clouds
137,Kahului,US,20.8947,-156.47,84.22,64,20,20.71,few clouds
138,La Ronge,CA,55.1001,-105.2842,70.02,73,90,6.91,smoke
139,Methven,NZ,-43.6333,171.65,39.47,91,100,2.77,overcast clouds
140,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,65,7,15.14,clear sky
141,Kodiak,US,57.79,-152.4072,56.71,82,1,3.44,clear sky
142,Sept-Iles,CA,50.2001,-66.3821,63.25,75,0,4.0,clear sky
143,Yulara,AU,-25.2406,130.9889,39.04,60,0,4.61,clear sky
144,Itau De Minas,BR,-20.7394,-46.7522,76.26,32,94,3.71,overcast clouds
145,Lorengau,PG,-2.0226,147.2712,79.81,78,43,1.99,scattered clouds
146,Hobyo,SO,5.3505,48.5268,77.16,84,100,26.46,overcast clouds
147,Vardo,NO,70.3705,31.1107,48.4,87,75,33.38,broken clouds
148,Mahebourg,MU,-20.4081,57.7,68.25,71,59,20.29,broken clouds
149,Avarua,CK,-21.2078,-159.775,77.05,61,47,6.91,scattered clouds
150,East London,ZA,-33.0153,27.9116,64.13,86,69,5.46,broken clouds
151,Sancraieni,RO,46.3144,25.8394,66.65,69,20,2.39,few clouds
152,Muncar,ID,-8.4333,114.3333,75.52,91,75,4.45,broken clouds
153,Dingzhou,CN,38.5131,114.9956,75.27,95,100,4.92,overcast clouds
154,Kruisfontein,ZA,-34.0033,24.7314,57.88,92,100,5.06,overcast clouds
155,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,12.66,light rain
156,Arcata,US,40.8665,-124.0828,85.68,75,1,3.0,clear sky
157,Talnakh,RU,69.4865,88.3972,65.28,63,9,3.33,clear sky
158,Hasaki,JP,35.7333,140.8333,72.28,89,0,3.65,clear sky
159,Senno,RU,59.5336,33.9167,54.27,70,100,2.53,overcast clouds
160,Ribeira Grande,PT,38.5167,-28.7,79.2,69,20,5.75,few clouds
161,Port Elizabeth,ZA,-33.918,25.5701,60.1,89,99,1.9,overcast clouds
162,Kirando,TZ,-7.4167,30.6,74.75,55,3,5.26,clear sky
163,Entebbe,UG,0.0644,32.4469,72.5,74,7,2.42,clear sky
164,Hongjiang,CN,27.11,109.9956,75.76,92,0,2.62,clear sky
165,Marrakesh,MA,31.6315,-8.0083,89.67,31,0,12.66,clear sky
166,Lashio,MM,22.9333,97.75,68.41,99,99,2.13,overcast clouds
167,Jieshou,CN,33.2634,115.3611,76.98,97,0,5.97,light rain
168,Ust-Nera,RU,64.5667,143.2,49.05,57,10,5.84,clear sky
169,Grindavik,IS,63.8424,-22.4338,56.55,82,75,2.3,broken clouds
170,Pevek,RU,69.7008,170.3133,38.62,96,100,10.38,overcast clouds
171,Champerico,GT,14.3,-91.9167,90.77,76,99,4.54,overcast clouds
172,Mangaratiba,BR,-22.9597,-44.0406,69.03,76,26,3.51,scattered clouds
173,Lisburn,GB,54.5234,-6.0353,64.58,94,75,5.75,broken clouds
174,Sao Filipe,CV,14.8961,-24.4956,77.58,88,100,4.05,overcast clouds
175,Itoman,JP,26.1247,127.6694,80.62,96,75,5.75,broken clouds
176,Ezhou,CN,30.4,114.8333,80.46,85,1,4.72,clear sky
177,Pandan,PH,14.0453,124.1694,82.17,79,97,11.81,overcast clouds
178,Minot,US,48.2325,-101.2963,90.79,22,100,14.65,overcast clouds
179,Kavieng,PG,-2.5744,150.7967,81.18,76,24,3.62,few clouds
180,Aracaju,BR,-10.9111,-37.0717,74.34,70,88,11.23,overcast clouds
181,San Patricio,US,28.017,-97.5169,96.03,58,100,7.27,overcast clouds
182,Cidreira,BR,-30.1811,-50.2056,61.25,90,99,8.79,overcast clouds
183,Bella Union,UY,-30.2752,-57.6007,64.53,62,100,8.59,overcast clouds
184,Isangel,VU,-19.55,169.2667,68.61,70,52,2.46,broken clouds
185,Torbay,CA,47.6666,-52.7314,73.89,62,100,18.66,overcast clouds
186,Laguna,US,38.421,-121.4238,103.84,36,1,1.99,clear sky
187,Natchitoches,US,31.7668,-93.1335,90.45,45,1,8.05,clear sky
188,Ketchikan,US,55.3422,-131.6461,63.07,94,90,13.8,mist
189,Baruun-Urt,MN,46.6806,113.2792,54.57,86,84,8.28,broken clouds
190,Awjilah,LY,29.1081,21.2869,94.82,22,0,10.69,clear sky
191,Oranjemund,NA,-28.55,16.4333,55.27,87,0,4.12,clear sky
192,Baykit,RU,61.67,96.37,60.87,78,95,3.56,overcast clouds
193,Potam,MX,27.6,-110.3833,96.93,48,29,11.5,scattered clouds
194,Sassandra,CI,4.95,-6.0833,75.34,89,72,9.48,broken clouds
195,Sidney,AU,-33.8679,151.2073,54.72,71,0,1.01,clear sky
196,General Pico,AR,-35.6566,-63.7568,68.67,32,0,11.3,clear sky
197,Ovsyanka,RU,55.9575,92.5519,58.17,94,100,2.48,light rain
198,Nador,MA,35.174,-2.9287,75.45,78,0,0.0,clear sky
199,Sidi Ali,DZ,36.0998,0.4206,75.76,52,0,3.89,clear sky
200,Severo-Yeniseyskiy,RU,60.3725,93.0408,57.25,79,90,2.37,overcast clouds
201,Blairmore,CA,49.6,-114.4353,78.93,20,99,7.56,overcast clouds
202,Te Anau,NZ,-45.4167,167.7167,36.55,91,100,1.63,overcast clouds
203,Castletown,IE,53.0281,-9.0686,61.29,87,88,3.36,overcast clouds
204,Mayo,US,38.8876,-76.5119,84.81,55,1,7.0,clear sky
205,Denpasar,ID,-8.65,115.2167,78.46,94,40,14.97,scattered clouds
206,Talara,PE,-4.5772,-81.2719,74.16,64,0,14.97,clear sky
207,Awbari,LY,26.5921,12.7805,93.52,12,0,5.88,clear sky
208,Gigmoto,PH,13.7796,124.39,82.26,82,97,14.18,overcast clouds
209,Lahij,YE,13.1667,44.5833,88.2,56,66,7.38,broken clouds
210,Muros,ES,42.7762,-9.0603,68.5,83,52,3.62,broken clouds
211,Camacha,PT,33.0833,-16.3333,70.56,88,40,12.66,scattered clouds
212,Lakhnadon,IN,22.6,79.6,73.04,88,98,5.28,overcast clouds
213,Mabaruma,GY,8.2,-59.7833,83.77,66,44,5.75,scattered clouds
214,Canto Do Buriti,BR,-8.11,-42.9444,89.62,20,31,9.86,scattered clouds
215,Crewe,GB,53.0979,-2.4416,64.78,86,81,3.0,broken clouds
216,Dingle,PH,10.9995,122.6711,77.85,87,72,8.57,light rain
217,Galle,LK,6.0367,80.217,79.09,86,64,13.2,broken clouds
218,Cayenne,GF,4.9333,-52.3333,86.09,67,0,3.44,clear sky
219,Praia,CV,14.9215,-23.5087,79.34,89,75,5.75,broken clouds
220,Turukhansk,RU,65.8167,87.9833,62.28,65,21,7.52,few clouds
221,Capaccio,IT,40.4244,15.0809,80.2,51,41,4.0,scattered clouds
222,Kirakira,SB,-10.4544,161.9205,73.96,79,1,4.38,clear sky
223,Iqaluit,CA,63.7506,-68.5145,44.33,86,75,8.01,light rain
224,Carnarvon,AU,-24.8667,113.6333,50.07,39,0,12.66,clear sky
225,Norman Wells,CA,65.282,-126.8329,53.17,76,100,3.78,light rain
226,Harper,LR,4.375,-7.7169,76.14,84,98,11.48,overcast clouds
227,Kaohsiung,TW,22.6163,120.3133,81.03,96,68,11.01,broken clouds
228,Luderitz,NA,-26.6481,15.1594,55.9,84,4,4.5,clear sky
229,Maceio,BR,-9.6658,-35.7353,76.44,73,75,10.36,broken clouds
230,College,US,64.8569,-147.8028,75.52,53,40,11.5,smoke
231,Acapulco,MX,16.8634,-99.8901,85.82,70,75,5.75,broken clouds
232,Namibe,AO,-15.1961,12.1522,68.31,71,5,8.48,clear sky
233,Bengkulu,ID,-3.8004,102.2655,75.63,90,100,5.61,overcast clouds
234,Anadyr,RU,64.75,177.4833,57.0,87,100,15.01,overcast clouds
235,Ampanihy,MG,-24.7,44.75,66.22,64,0,8.95,clear sky
236,Kungurtug,RU,50.5994,97.5228,50.72,82,26,2.42,scattered clouds
237,Xuanhua,CN,40.6103,115.0447,71.1,53,18,2.53,few clouds
238,Haskovo,BG,41.9403,25.5694,85.62,46,56,7.11,light rain
239,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,94,75,9.22,broken clouds
240,Belyy Yar,RU,53.6039,91.3903,62.49,82,0,4.47,clear sky
241,Parker,US,32.7668,-97.8003,91.87,56,33,1.99,scattered clouds
242,Jishou,CN,28.3167,109.7167,76.19,87,1,2.48,clear sky
243,Asosa,ET,10.0667,34.5333,59.95,93,100,3.56,overcast clouds
244,Geraldton,AU,-28.7667,114.6,45.01,87,0,8.05,clear sky
245,Edgewater,US,28.9889,-80.9023,86.02,94,75,8.05,broken clouds
246,Istok,XK,42.7808,20.4875,85.12,44,11,4.07,few clouds
247,Sheffield Lake,US,41.4875,-82.1015,83.91,46,1,6.91,clear sky
248,Uarini,BR,-2.99,-65.1083,89.55,68,98,1.88,overcast clouds
249,Zavallya,UA,48.2135,30.0156,69.58,60,97,6.6,overcast clouds
250,Conceicao Da Barra,BR,-18.5933,-39.7322,71.28,71,70,12.41,broken clouds
251,Salvador,SV,13.8333,-88.9167,85.05,60,56,3.0,broken clouds
252,Upernavik,GL,72.7868,-56.1549,45.66,75,8,4.32,clear sky
253,Pervomayskiy,RU,53.2485,40.2871,63.12,64,79,4.29,broken clouds
254,San Jeronimo,PE,-11.9472,-75.2829,55.99,50,82,7.81,broken clouds
255,Waddan,LY,29.1614,16.139,94.96,17,0,19.01,clear sky
256,Belem De Sao Francisco,BR,-8.7539,-38.9658,86.92,27,33,14.2,scattered clouds
257,Marfino,RU,55.7028,37.3822,61.09,89,0,4.47,clear sky
